Component,Weight %,Ticker,Sedol
"AGNC INVESTMENT CORP",0.11,AGNC UW Equity,BYYHJL8
"AGL ENERGY LTD",0.11,AGL AT Equity,BSS7GP5
"YAMAGUCHI FINANCIAL GROUP INC ORD",0.1,8418 JT Equity,B1DGKS9
"TELECOM ITALIA SPA",0.1,TIT IM Equity,7634394
"TAKASHIMAYA CO LTD ORD",0.1,8233 JT Equity,6870401
"SAINT GOBAIN",0.1,SGO FP Equity,7380482
"PUBLICIS GROUPE SA",0.1,PUB FP Equity,4380429
"PRUDENTIAL PLC",0.1,PRU LN Equity,0709954
"NH FOODS LTD",0.1,2282 JT Equity,6640767
"KONINKLIJKE VOPAK NV",0.1,VPK NA Equity,5809428
"KELLOGG CO",0.1,K UN Equity,2486813
"INTERCONTINENTAL HOTELS GROUP PLC",0.1,IHG LN Equity,BD8QVH4
"HORMEL FOODS CORP",0.1,HRL UN Equity,2437264
"HKT TRUST AND HKT LTD",0.1,6823 HK Equity,B4TXDZ3
"HITACHI HIGH TEC (NISSEI SANGYO) ORD",0.1,8036 JT Equity,6642804
"F5 NETWORKS INC",0.1,FFIV UW Equity,2427599
"DBS GROUP HOLDINGS LTD",0.1,DBS SP Equity,6175203
"DARDEN RESTAURANTS",0.1,DRI UN Equity,2289874
"COMFORTDELGRO CORP LTD ORD",0.1,CD SP Equity,6603737
"COLGATE-PALMOLIVE CO",0.1,CL UN Equity,2209106
"CARREFOUR SA",0.1,CA FP Equity,5641567
"BRENNTAG",0.1,BNR GY Equity,B4YVF56
"AVALONBAY COMMUNITIES INC",0.1,AVB UN Equity,2131179
"ASSURANT INC",0.1,AIZ UN Equity,2331430
"YASKAWA ELECTRIC CORP ORD",0.09,6506 JT Equity,6986041
"VORNADO REALTY TRUST",0.09,VNO UN Equity,2933632
"SUNCOR ENERGY INC",0.09,SU CT Equity,B3NB1P2
"SONY CORP",0.09,6758 JT Equity,6821506
"SINGAPORE PRESS HOLDINGS LTD ORD",0.09,SPH SP Equity,B012899
"NIKE INC",0.09,NKE UN Equity,2640147
"LLOYDS BANKING GROUP PLC",0.09,LLOY LN Equity,0870612
"JM SMUCKER CO/THE",0.09,SJM UN Equity,2951452
"ING GROEP NV-CVA",0.09,INGA NA Equity,BZ57390
"INDITEX SA",0.09,ITX SQ Equity,BP9DL90
"HENDERSON LAND DEVELOPMENT ORD",0.09,12 HK Equity,6420538
"DISCOVERY COMMUNICATIONS INC",0.09,DISCA UW Equity,B3D7K31
"CONOCOPHILLIPS",0.09,COP UN Equity,2685717
"CAMPBELL SOUP CO",0.09,CPB UN Equity,2162845
"BROOKFIELD ASSET MGMT CL A VTG",0.09,BAM/A CT Equity,2092599
"BIOGEN INC",0.09,BIIB UW Equity,2455965
"AIR LIQUIDE SA",0.09,AI FP Equity,B1YXBJ7
"ABN AMRO GROUP NV-CVA",0.09,ABN NA Equity,BYQP136
"XYLEM INC",0.08,XYL UN Equity,B3P2CN8
"VOESTALPINE AG",0.08,VOE AV Equity,4943402
"TELENOR ASA",0.08,TEL NO Equity,4732495
"PVH CORP",0.08,PVH UN Equity,B3V9F12
"ORACLE CORP JAPAN ORD",0.08,4716 JT Equity,6141680
"MARATHON PETROLEUM CORP",0.08,MPC UN Equity,B3K3L40
"KBC GROEP NV",0.08,KBC BB Equity,4497749
"GECINA SA",0.08,GFC FP Equity,7742468
"EQUIFAX INC",0.08,EFX UN Equity,2319146
"DEERE & CO",0.08,DE UN Equity,2261203
"CHRISTIAN HANSEN HOLDING A/S",0.08,CHR DC Equity,B573M11
"AMERICAN ELECTRIC POWER",0.08,AEP UN Equity,2026242
"ABBOTT LABORATORIES",0.08,ABT UN Equity,2002305
"YAMADA DENKI CO LTD ORD",0.07,9831 JT Equity,6985026
"XILINX INC",0.07,XLNX UW Equity,2985677
"WHARF HOLDINGS LTD ORD",0.07,4 HK Equity,6435576
"WATERS CORP",0.07,WAT UN Equity,2937689
"VEOLIA ENVIRONNEMENT SA",0.07,VIE FP Equity,4031879
"VARIAN MEDICAL SYSTEMS INC",0.07,VAR UN Equity,2927516
"UOL GROUP LTD ORD",0.07,UOL SP Equity,6916844
"TOYOTA INDUSTRIES CORP ORD",0.07,6201 JT Equity,6900546
"TAYLOR WIMPEY PLC",0.07,TW/ LN Equity,0878230
"SYMRISE AG",0.07,SY1 GY Equity,B1JB4K8
"SUMITOMO CHEMICAL CO LTD",0.07,4005 JT Equity,6858560
"SUEZ",0.07,SEV FP Equity,B3B8D04
"STANLEY ELECTRIC CO LTD",0.07,6923 JT Equity,6841106
"SNAM SPA",0.07,SRG IM Equity,7251470
"SIRIUS XM HOLDINGS INC",0.07,SIRI UW Equity,BGLDK10
"SINO LAND CO LTD ORD",0.07,83 HK Equity,6810429
"SENSATA TECHNOLOGIES HOLDING NV",0.07,ST UN Equity,B62S207
"SEGRO PLC ORD",0.07,SGRO LN Equity,B5ZN1N8
"SEEK LTD ORD",0.07,SEK AT Equity,B0767Y3
"SAGE GROUP PLC",0.07,SGE LN Equity,B8C3BL0
"ROCKWELL AUTOMATION INC",0.07,ROK UN Equity,2754060
"REA GROUP LTD ORD",0.07,REA AT Equity,6198578
"RANDSTAD HOLDING NV",0.07,RAND NA Equity,5228658
"RAMSAY HEALTH CARE LTD ORD",0.07,RHC AT Equity,6041995
"QUINTILES IMS HOLDINGS INC",0.07,Q UN Equity,B7VM917
"PUBLIC SVC ENTERPRISE",0.07,PEG UN Equity,2707677
"PUBLIC STORAGE",0.07,PSA UN Equity,2852533
"PROLOGIS INC",0.07,PLD UN Equity,B44WZD7
"ORIENTAL LAND CO LTD ORD",0.07,4661 JT Equity,6648891
"NISSHIN SEIFUN GROUP INC",0.07,2002 JT Equity,6640961
"NISOURCE INC",0.07,NI UN Equity,2645409
"NIKON CORP ORD",0.07,7731 JT Equity,6642321
"NIELSEN HOLDINGS PLC",0.07,NLSN UN Equity,BWFY550
"NEC CORP ORD",0.07,6701 JT Equity,6640400
"MTR CORPORATION LTD",0.07,66 HK Equity,6290054
"MAZDA MOTOR CORP ORD",0.07,7261 JT Equity,6900308
"MARRIOTT INTL INC NEW CL A",0.07,MAR UW Equity,2210614
"MARINE HARVEST",0.07,MHG NO Equity,B02L486
"MACQUARIE GROUP LTD ORD",0.07,MQG AT Equity,B28YTC2
"LINK REIT",0.07,823 HK Equity,B0PB4M7
"LINDE AG",0.07,LIN GY Equity,5740817
"KURARAY CO LTD",0.07,3405 JT Equity,6497662
"KONINKLIJKE BOSKALIS WESTMINSTER NV",0.07,BOKA NA Equity,B1XF882
"KANSAS CITY SOUTHERN",0.07,KSU UN Equity,2607647
"JULIUS BAER GRUPPE AG",0.07,BAER VX Equity,B4R2R50
"INVESTEC PLC",0.07,INVP LN Equity,B17BBQ5
"INTERCONTINENTAL EXCHANGE INC",0.07,ICE UN Equity,BFSSDS9
"INSURANCE AUSTRALIA GROUP LTD ORD",0.07,IAG AT Equity,6271026
"HITACHI METALS LTD ORD",0.07,5486 JT Equity,6429201
"HILTON WORLDWIDE HOLDINGS INC",0.07,HLT UN Equity,BYVMW06
"HARVEY NORMAN HOLDINGS LTD ORD",0.07,HVN AT Equity,6173508
"HAKUHODO DY HOLDINGS INC ORD",0.07,2433 JT Equity,B05LZ02
"FORTIS INC.",0.07,FTS CT Equity,2347200
"FLETCHER BUILDING LTD",0.07,FBU NZ Equity,6341606
"DUKE REALTY CORP",0.07,DRE UN Equity,2284084
"DOVER CORP",0.07,DOV UN Equity,2278407
"DISCOVER FINANCIAL SERVICES",0.07,DFS UN Equity,B1YLC43
"DEUTSCHE BOERSE",0.07,DB1 GY Equity,7021963
"DASSAULT SYSTEMES SA",0.07,DSY FP Equity,5330047
"COOPER COMPANIES INC",0.07,COO UN Equity,2222631
"COCHLEAR LTD",0.07,COH AT Equity,6211798
"CK INFRASTRUCTURE HOLDINGS LTD",0.07,1038 HK Equity,BYVS6J1
"CITY DEVELOPMENTS LTD ORD",0.07,CIT SP Equity,6197928
"BUREAU VERITAS REGISTRE INTERNATIONAL DE CLASSIFICATION DE NAVIRES ET D AERONEFS",0.07,BVI FP Equity,B28DTJ6
"BOSTON SCIENTIFIC CORP",0.07,BSX UN Equity,2113434
"BEST BUY CO INC",0.07,BBY UN Equity,2094670
"AUTOLIV INC",0.07,ALV UN Equity,2064253
"AUSNET SERVICES",0.07,AST AT Equity,BPXR7J0
"ATLAS COPCO AB",0.07,ATCOA SS Equity,BXC8BS7
"ASSA ABLOY AB",0.07,ASSAB SS Equity,BYPC1T4
"ASCENDAS REAL ESTATE INV TRT",0.07,AREIT SP Equity,6563875
"APPLIED MATERIALS INC",0.07,AMAT UW Equity,2046552
"AMERICAN TOWER CORP",0.07,AMT UN Equity,B7FBFL2
"AKZO NOBEL NV",0.07,AKZA NA Equity,5458314
"AIR WATER INC",0.07,4088 JT Equity,6441465
"AGILENT TECHNOLOGIES INC",0.07,A UN Equity,2520153
"ADOBE SYSTEMS INC",0.07,ADBE UW Equity,2008154
"YOKOGAWA ELECTRIC CORP ORD",0.06,6841 JT Equity,6986427
"WW GRAINGER INC",0.06,GWW UN Equity,2380863
"WHITBREAD PLC",0.06,WTB LN Equity,B1KJJ40
"UNITED UTILITIES PLC",0.06,UU/ LN Equity,B39J2M4
"UDR INC",0.06,UDR UN Equity,2727910
"TOYO SUISAN KAISHA LTD",0.06,2875 JT Equity,6899967
"TOTO LTD",0.06,5332 JT Equity,6897466
"TOKYU CORP",0.06,9005 JT Equity,6896548
"TOKYO ELECTRON LTD ORD",0.06,8035 JT Equity,6895675
"TELENET GROUP HOLDING NV",0.06,TNET BB Equity,B0LKSK4
"TDK CORP ORD",0.06,6762 JT Equity,6869302
"SUNCORP GROUP (SUNCORP METWAY) ORD",0.06,SUN AT Equity,6585084
"SUMITOMO ELECTRIC INDUSTRIES LTD",0.06,5802 JT Equity,6858708
"STOCKLAND",0.06,SGP AT Equity,6850856
"SKANSKA AB",0.06,SKAB SS Equity,7142091
"SECURITAS AB",0.06,SECUB SS Equity,5554041
"ROBERT HALF INTL.",0.06,RHI UN Equity,2110703
"PPG INDUSTRIES INC",0.06,PPG UN Equity,2698470
"POWER ASSETS HOLDINGS LTD",0.06,6 HK Equity,6435327
"PENTAIR PLC",0.06,PNR UN Equity,BLS09M3
"PANASONIC CORP",0.06,6752 JT Equity,6572707
"NORTHERN TRUST CORP",0.06,NTRS UW Equity,2648668
"NEW YORK COMMUNITY BANCORP INC",0.06,NYCB UN Equity,2711656
"MONDELEZ INTERNATIONAL INC",0.06,MDLZ UW Equity,B8CKK03
"MERLIN ENTERTAINMENTS PLC",0.06,MERL LN Equity,BDZT6P9
"MAPFRE SA",0.06,MAP SQ Equity,B1G40S0
"LEVEL 3 COMMUNICATIONS INC",0.06,LVLT UN Equity,B5LL299
"KONICA MINOLTA HOLDINGS INC ORD",0.06,4902 JT Equity,6496700
"KLEPIERRE SA ORD",0.06,LI FP Equity,7582556
"KIKKOMAN CORP ORD",0.06,2801 JT Equity,6490809
"KEIO (KEIO ELECTRIC RAIL) CORP ORD",0.06,9008 JT Equity,6487362
"KEIKYU (KEIHIN ELECTRIC EXP) ORD",0.06,9006 JT Equity,6487306
"KAO CORP",0.06,4452 JT Equity,6483809
"JUNIPER NETWORKS INC",0.06,JNPR UN Equity,2431846
"JTEKT CORP (KOYO SEIKO) ORD",0.06,6473 JT Equity,6497082
"J SAINSBURY PLC",0.06,SBRY LN Equity,B019KW7
"JERONIMO MARTINS SGPS SA",0.06,JMT PL Equity,B1Y1SQ7
"ITV PLC",0.06,ITV LN Equity,3398649
"HOST HOTELS & RESORTS INC",0.06,HST UN Equity,2567503
"HITACHI CHEMICAL CO LTD",0.06,4217 JT Equity,6429126
"HASBRO INC",0.06,HAS UW Equity,2414580
"FRANKLIN RESOURCES INC",0.06,BEN UN Equity,2350684
"ESSILOR INTERNATIONAL SA",0.06,EI FP Equity,7212477
"EQUITY RESIDENTIAL",0.06,EQR UN Equity,2319157
"ELI LILLY & CO",0.06,LLY UN Equity,2516152
"CRODA INTERNATIONAL PLC",0.06,CRDA LN Equity,BYZWX76
"COLOPLAST A/S",0.06,COLOB DC Equity,B8FMRX8
"CITRIX SYSTEMS INC",0.06,CTXS UW Equity,2182553
"BUNGE LTD",0.06,BG UN Equity,2788713
"AXALTA COATING SYSTEMS LTD",0.06,AXTA UN Equity,BSFWCF5
"ANDRITZ AG",0.06,ANDR AV Equity,B1WVF68
"AES CORP",0.06,AES UN Equity,2002479
"ADMIRAL GROUP PLC",0.06,ADM LN Equity,B02J639
"TOHO GAS CO LTD",0.05,9533 JT Equity,6895222
"PRO 7 SAT 1 MEDIA SE",0.05,PSM GY Equity,BCZM1B2
"OCCIDENTAL PETROLEUM CORP",0.05,OXY UN Equity,2655408
"L BRANDS INC",0.05,LB UN Equity,B9M2WX3
"HANG LUNG GROUP LTD ORD",0.05,10 HK Equity,6408352
"DEUTSCHE BANK",0.05,DBK GY Equity,5750355
"CHARTER COMMUNICATIONS INC",0.05,CHTR UW Equity,BZ6VT82
"AP MOELLER MAERSK A/S",0.05,MAERSKB DC Equity,4253048
"SIEMENS GAMESA RENEWABLE ENERGY",0.04,SGRE SQ Equity,B01CP21
"NATIXIS SA",0.04,KN FP Equity,B1HDJL2
"DELL TECHNOLOGIES INC",0.04,DVMT UN Equity,BDB2RN7
"AVIVA PLC",0.04,AV/ LN Equity,0216238
"AEON CO LTD ORD",0.04,8267 JT Equity,6480048
"VOLVO AB-B SHS",0.03,VOLVB SS Equity,B1QH830
"STANDARD CHARTERED PLC",0.03,STAN LN Equity,0408284
"OMV AG",0.03,OMV AV Equity,4651459
"OLD MUTUAL PLC",0.03,OML LN Equity,B77J086
"NORSK HYDRO ASA",0.03,NHY NO Equity,B11HK39
"HUMANA INC",0.03,HUM UN Equity,2445063
"FLIGHT CENTRE LTD ORD",0.03,FLT AT Equity,6352147
"DAIWA SECURITIES GROUP INC ORD",0.03,8601 JT Equity,6251448
"CASINO GUICHARD PERRACHON SA",0.03,CO FP Equity,4178419
"YUE YUEN INDUSTRIAL HOLDINGS LTD",0.02,551 HK Equity,6586537
"YARA INTL ASA",0.02,YAR NO Equity,7751259
"YAMAHA CORP ORD",0.02,7951 JT Equity,6642387
"XEROX CORP",0.02,XRX UN Equity,BYWTW73
"WOODSIDE PETROLEUM LTD",0.02,WPL AT Equity,6979728
"WEYERHAEUSER CO",0.02,WY UN Equity,2958936
"WELLTOWER INC",0.02,HCN UN Equity,BYVYHH4
"VULCAN MATERIALS CO",0.02,VMC UN Equity,2931205
"VMWARE INC-CLASS A",0.02,VMW UN Equity,B23SN61
"UNICREDIT SPA",0.02,UCG IM Equity,BYMXPS7
"UMICORE SA",0.02,UMI BB Equity,4005001
"TREND MICRO INC",0.02,4704 JT Equity,6125286
"TRANSURBAN GROUP",0.02,TCL AT Equity,6200882
"TRANSCANADA CORP",0.02,TRP CT Equity,2665184
"TIFFANY & CO",0.02,TIF UN Equity,2892090
"THK CO LTD ORD",0.02,6481 JT Equity,6869131
"TERUMO CORP",0.02,4543 JT Equity,6885074
"TELE2 AB",0.02,TEL2B SS Equity,B97C733
"TD AMERITRADE HOLDING",0.02,AMTD UW Equity,2983154
"TAIYO NIPPON SANSO CORP",0.02,4091 JT Equity,6640541
"SVENSKA CELLULOSA AB",0.02,SCAB SS Equity,B1VVGZ5
"SUMITOMO HEAVY INDUSTRIES CO ORD",0.02,6302 JT Equity,6858731
"STEEL DYNAMICS INC",0.02,STLD UW Equity,2849472
"STANDARD LIFE ABERDEEN PLC",0.02,SLA LN Equity,BVFD7Q5
"SONY FINANCIAL HOLDINGS INC ORD",0.02,8729 JT Equity,B249SN5
"SOCIETE B I C SA",0.02,BB FP Equity,5298781
"SKF AB",0.02,SKFB SS Equity,B1Q3J35
"SHIZUOKA BANK LTD ORD",0.02,8355 JT Equity,6805328
"SHIONOGI & CO LTD ORD",0.02,4507 JT Equity,6804682
"SHIMANO INC",0.02,7309 JT Equity,6804820
"SES SA",0.02,SESG FP Equity,B00ZQQ2
"SEMBCORP INDUSTRIES LTD",0.02,SCI SP Equity,B08X163
"SBI HOLDINGS INC ORD",0.02,8473 JT Equity,6309466
"SANDVIK AB",0.02,SAND SS Equity,B1VQ252
"SALESFORCE.COM INC",0.02,CRM UN Equity,2310525
"RYMAN HEALTHCARE GROUP LTD ORD",0.02,RYM NZ Equity,6161525
"ROYAL CARIBBEAN CRUISES LTD",0.02,RCL UN Equity,2754907
"ROYAL BANK OF SCOTLAND GROUP PLC",0.02,RBS LN Equity,B7T7721
"ROHM CO LTD ORD",0.02,6963 JT Equity,6747204
"RINNAI CORP ORD",0.02,5947 JT Equity,6740582
"RED HAT INC",0.02,RHT UN Equity,2447218
"RECRUIT HOLDINGS CO LTD",0.02,6098 JT Equity,BQRRZ00
"RAIFFEISEN BANK INTERNATIONA",0.02,RBI AV Equity,B0704T9
"PULTE GROUP INC",0.02,PHM UN Equity,2708841
"PROVIDENT FINANCIAL PLC",0.02,PFG LN Equity,B1Z4ST8
"PRICELINE GROUP INC/THE",0.02,PCLN UW Equity,2779063
"PEOPLES UNITED FINANCIAL INC",0.02,PBCT UW Equity,B1W41J2
"PEMBINA PIPELINE CORP",0.02,PPL CT Equity,B4PT2P8
"PATTERSON COMPANIES INC",0.02,PDCO UW Equity,2672689
"OTSUKA CORP ORD",0.02,4768 JT Equity,6267058
"ORICA LTD ORD",0.02,ORI AT Equity,6458001
"ONEOK INC",0.02,OKE UN Equity,2130109
"OMRON CORP ORD",0.02,6645 JT Equity,6659428
"ODAKYU ELECTRIC RAILWAY CO LTD",0.02,9007 JT Equity,6656106
"NXP SEMICONDUCTOR NV",0.02,NXPI UW Equity,B505PN7
"NUCOR CORP",0.02,NUE UN Equity,2651086
"NSK LTD ORD",0.02,6471 JT Equity,6641544
"NORFOLK SOUTHERN CORP",0.02,NSC UN Equity,2641894
"NORDSTROM INC",0.02,JWN UN Equity,2641827
"NOMURA RESEARCH INSTITUTE LTD ORD",0.02,4307 JT Equity,6390921
"NOKIA OYJ",0.02,NOKIA FH Equity,5902941
"NOKIAN RENKAAT OYJ",0.02,NRE1V FH Equity,B07G378
"NITTO DENKO CORP",0.02,6988 JT Equity,6641801
"NIPPON PAINT HOLDINGS CO LTD",0.02,4612 JT Equity,6640507
"NIDEC CORP ORD",0.02,6594 JT Equity,6640682
"NGK INSULATORS LTD ORD",0.02,5333 JT Equity,6619507
"NEWMONT MINING CORP",0.02,NEM UN Equity,2636607
"NAVIENT CORP",0.02,NAVI UW Equity,BLP5GX1
"NATIONAL BANK OF CANADA",0.02,NA CT Equity,2077303
"NASDAQ INC",0.02,NDAQ UW Equity,2965107
"MURATA MANUFACTURING LTD ORD",0.02,6981 JT Equity,6610403
"M & T BANK CORP",0.02,MTB UN Equity,2340168
"MOLSON COORS BREWING CO",0.02,TAP UN Equity,B067BM3
"MITSUI FUDOSAN CO LTD ORD",0.02,8801 JT Equity,6597603
"MITSUBISHI TANABE PHARMA CORP ORD",0.02,4508 JT Equity,6870984
"MITSUBISHI MATERIALS CORP",0.02,5711 JT Equity,6597089
"MIRACA HOLDINGS (FUJIREBIO) ORD",0.02,4544 JT Equity,6356611
"MICROCHIP TECHNOLOGY INC",0.02,MCHP UW Equity,2592174
"MERIDIAN ENERGY LTD",0.02,MEL NZ Equity,BWFD052
"MERCURY NZ LTD",0.02,MCY NZ Equity,B8W6K56
"MARKS AND SPENCER GROUP PLC",0.02,MKS LN Equity,3127489
"MALLINCKRODT PHARMACEUTICALS",0.02,MNK UN Equity,BBJTYC4
"MAKITA CORP ORD",0.02,6586 JT Equity,6555805
"MACYS INC",0.02,M UN Equity,2345022
"MACERICH CO/THE",0.02,MAC UN Equity,2543967
"LINCOLN NATIONAL CORP",0.02,LNC UN Equity,2516378
"LIBERTY GLOBAL CL.A",0.02,LBTYA UW Equity,B8W6766
"LAM RESEARCH CORP",0.02,LRCX UW Equity,2502247
"KUBOTA CORP",0.02,6326 JT Equity,6497509
"KOMATSU LTD",0.02,6301 JT Equity,6496584
"KOHLS CORP",0.02,KSS UN Equity,2496113
"KINNEVIK AB ORD B",0.02,KINVB SS Equity,BD6S7G3
"KINGFISHER PLC",0.02,KGF LN Equity,3319521
"JOHNSON CONTROLS INTERNATIONAL PLC",0.02,JCI UN Equity,BY7QL61
"J FRONT RETAILING CO LTD ORD",0.02,3086 JT Equity,B23TC12
"JEAN COUTU GROUP INC-CLASS A",0.02,PJC/A CT Equity,2471541
"JAPAN EXCHANGE GROUP INC",0.02,8697 JT Equity,6743882
"INTUIT COM",0.02,INTU UW Equity,2459020
"INTERNATIONAL PAPER CO",0.02,IP UN Equity,2465254
"IMI PLC",0.02,IMI LN Equity,BGLP8L2
"ILIAD SA",0.02,ILD FP Equity,7759435
"IDEMITSU KOSAN CO LTD ORD",0.02,5019 JT Equity,B1FF8P7
"HYSAN DEVELOPMENT CO LTD ORD",0.02,14 HK Equity,6449629
"HONG KONG EXCHANGES & CLEARING ORD",0.02,388 HK Equity,6267359
"HIROSHIMA BANK LTD ORD",0.02,8379 JT Equity,6075723
"HINO MOTORS LTD ORD",0.02,7205 JT Equity,6428305
"HANG LUNG PROPERTIES LTD ORD",0.02,101 HK Equity,6030506
"HANESBRANDS",0.02,HBI UN Equity,B1BJSL9
"HAMMERSON PLC ORD",0.02,HMSO LN Equity,0406501
"GAP INC/THE",0.02,GPS UN Equity,2360326
"FORTESCUE METALS GROUP LTD",0.02,FMG AT Equity,6086253
"FINNING INTERNATIONAL INC",0.02,FTT CT Equity,2339177
"FERROVIAL SA",0.02,FER SQ Equity,B038516
"FEDERAL REALTY INVS TRUST",0.02,FRT UN Equity,2333931
"E*TRADE FINANCIAL CORP",0.02,ETFC UW Equity,2299011
"EQUINIX INC",0.02,EQIX UW Equity,BVLZX12
"EISAI",0.02,4523 JT Equity,6307200
"EDENRED SA",0.02,EDEN FP Equity,B62G1B5
"EASYJET PLC",0.02,EZJ LN Equity,B7KR2P8
"DSV A/S",0.02,DSV DC Equity,B1WT5G2
"DEUTSCHE WOHNEN SE",0.02,DWNI GY Equity,B0YZ0Z5
"DENTSU INC ORD",0.02,4324 JT Equity,6416281
"CROWN CASTLE INTERNATIONAL CORP",0.02,CCI UN Equity,BTGQCX1
"COMPUTERSHARE LTD ORD",0.02,CPU AT Equity,6180412
"COGNIZANT TECHNOLOGY SOLUTI CL A",0.02,CTSH UW Equity,2257019
"COCA-COLA AMATIL LTD",0.02,CCL AT Equity,6123451
"CME GROUP",0.02,CME UW Equity,2965839
"CERNER CORP",0.02,CERN UW Equity,2185284
"CBRE GROUP INC",0.02,CBG UN Equity,B6WVMH3
"CASIO COMPUTER CO LTD ORD",0.02,6952 JT Equity,6178967
"BRAMBLES LTD",0.02,BXB AT Equity,B1FJ0C0
"BOSTON PROPERTIES INC",0.02,BXP UN Equity,2019479
"BORGWARNER INC",0.02,BWA UN Equity,2111955
"BORAL LTD ORD",0.02,BLD AT Equity,6218670
"BOLIDEN AB",0.02,BOL SS Equity,B1XCBX9
"BERKELEY GROUP HOLDINGS PLC",0.02,BKG LN Equity,B02L3W3
"BANK OF QUEENSLAND LTD",0.02,BOQ AT Equity,6076243
"BANK OF EAST ASIA LTD ORD",0.02,23 HK Equity,6075648
"BANK HAPOALIM BM ORD",0.02,POLI IT Equity,6075808
"ATLANTIA SPA",0.02,ATL IM Equity,7667163
"ASTRAZENECA PLC",0.02,AZN LN Equity,0989529
"ASSOCIATED BRITISH FOODS PLC",0.02,ABF LN Equity,0673123
"ASML HOLDING NV",0.02,ASML NA Equity,B929F46
"ASHTEAD GROUP PLC",0.02,AHT LN Equity,0053673
"ASAHI GLASS CO LTD ORD",0.02,5201 JT Equity,6055208
"APA GROUP",0.02,APA AT Equity,6247306
"ALSTOM SA",0.02,ALO FP Equity,B0DJ8Q5
"ALFA LAVAL AB",0.02,ALFA SS Equity,7332687
"ALBEMARLE CORP",0.02,ALB UN Equity,2046853
"AJINOMOTO CO INC",0.02,2802 JT Equity,6010906
"AGRIUM INC",0.02,AGU CT Equity,2213538
"ABC MART INC ORD",0.02,2670 JT Equity,6292102
"VIACOM INC-CLASS B",0.01,VIAB UW Equity,B0SRLF4
"ORION OYJ",0.01,ORNBV FH Equity,B17NY40
"BAKER HUGHES A GE CO LLC",0.01,BHGE UN Equity,BDHLTQ5
